first_name,last_name,race5,frequency
AALIYAH,JONES,Black,17
AALIYAH,MOORE,Black,11
AALIYAH,SMITH,Black,16
AALIYAH,WILLIAMS,Black,27
AARON,ADAMS,White,15
AARON,ALLEN,White,14
AARON,ANDERSON,Black,19
AARON,ANDERSON,White,26
AARON,BAILEY,White,16
AARON,BAKER,White,15
AARON,BROWN,Black,39
AARON,BROWN,White,52
AARON,BRYANT,Black,12
AARON,BYRD,White,13
AARON,CAMPBELL,White,11
AARON,CARTER,White,26
AARON,CLARK,White,26
AARON,COLLINS,White,11
AARON,COOK,White,23
AARON,COX,White,14
AARON,DAVIS,Black,33
AARON,DAVIS,White,43
AARON,EDWARDS,White,25
AARON,GRAHAM,Black,17
AARON,GREEN,Black,11
AARON,GREENE,White,15
AARON,HALL,White,25
AARON,HARRIS,Black,38
AARON,HARRIS,White,19
AARON,HILL,White,28
AARON,HOWARD,White,13
AARON,JACKSON,Black,24
AARON,JACKSON,White,20
AARON,JOHNSON,Black,42
AARON,JOHNSON,Other,28
AARON,JOHNSON,White,51
AARON,JONES,Black,37
AARON,JONES,Other,14
AARON,JONES,White,48
AARON,KING,White,22
AARON,LEE,Black,15
AARON,LEE,White,14
AARON,LEWIS,Black,11
AARON,LEWIS,White,14
AARON,LITTLE,Black,11
AARON,LOCKLEAR,Other,15
AARON,LONG,White,17
AARON,MARSHALL,White,12
AARON,MARTIN,White,26
AARON,MATTHEWS,Black,11
AARON,MILLER,Black,11
AARON,MILLER,White,46
AARON,MITCHELL,White,14
AARON,MOORE,Black,21
AARON,MOORE,White,33
AARON,MORRIS,White,11
AARON,NELSON,White,12
AARON,PARKER,White,27
AARON,PAYNE,White,14
AARON,PHILLIPS,White,16
AARON,PRICE,White,27
AARON,RICHARDSON,Black,12
AARON,ROBERTS,White,23
AARON,ROBINSON,White,14
AARON,ROGERS,White,13
AARON,SANDERS,White,11
AARON,SCOTT,Other,12
AARON,SCOTT,White,21
AARON,SHAW,White,11
AARON,SIMMONS,Black,11
AARON,SMITH,Black,45
AARON,SMITH,Other,23
AARON,SMITH,White,127
AARON,STEWART,White,21
AARON,STONE,White,13
AARON,TAYLOR,Black,15
AARON,TAYLOR,White,37
AARON,THOMAS,Black,18
AARON,THOMAS,Other,11
AARON,THOMAS,White,29
AARON,THOMPSON,Black,14
AARON,THOMPSON,White,24
AARON,WALKER,White,23
AARON,WARD,White,15
AARON,WELLS,White,11
AARON,WEST,White,14
AARON,WHITE,White,20
AARON,WILLIAMS,Black,40
AARON,WILLIAMS,Other,15
AARON,WILLIAMS,White,44
AARON,WILLIS,White,12
AARON,WILSON,White,45
AARON,WOOD,White,15
AARON,WRIGHT,White,21
AARON,YOUNG,White,11
ABBY,BROWN,White,12
ABBY,JOHNSON,White,13
ABBY,JONES,White,11
ABBY,MILLER,White,14
ABBY,SMITH,White,13
ABIGAIL,ADAMS,White,17
ABIGAIL,BAKER,White,13
ABIGAIL,BROWN,White,36
ABIGAIL,CAMPBELL,White,13
ABIGAIL,CARTER,White,11
ABIGAIL,CLARK,White,13
ABIGAIL,COOK,White,17
ABIGAIL,DAVIS,White,24
ABIGAIL,EDWARDS,White,13
ABIGAIL,HALL,White,14
ABIGAIL,HARRIS,White,16
ABIGAIL,HILL,White,11
ABIGAIL,JOHNSON,White,35
ABIGAIL,JONES,White,40
ABIGAIL,KENNEDY,White,12
ABIGAIL,KING,White,13
ABIGAIL,LEE,White,16
ABIGAIL,LEWIS,White,15
ABIGAIL,MARTIN,White,18
ABIGAIL,MILLER,White,25
ABIGAIL,MOORE,White,23
ABIGAIL,MORGAN,White,13
ABIGAIL,PHILLIPS,White,14
ABIGAIL,ROBINSON,White,11
